xAxis	D_N2pcc_High	D_N2pcc_Loww	D_Ptccc_High	D_Ptccc_Loww	D_SPCNa_High	D_SPCNa_Loww	D_SPCNb_High	D_SPCNb_Loww	T_P1pcc_High	T_P1pcc_Loww	T_N2pcc_High	T_N2pcc_Loww	T_SPCNa_High	T_SPCNa_Loww	T_SPCNb_High	T_SPCNb_Loww
708	-0.514712048	-0.168502898	-0.426926748	-0.140336391	-0.567246177	-0.174722518	-0.506628713	-0.261459696	-0.358344694	-0.201884481	-0.280413037	-0.263706895	-0.309890704	-0.277259962	-0.406867926	-0.305231919
712	-0.492581448	-0.137225144	-0.402146919	-0.106321031	-0.543498204	-0.152940621	-0.486981547	-0.236159241	-0.340728525	-0.25653201	-0.274309923	-0.33388376	-0.299753593	-0.348469866	-0.376038543	-0.361891737
716	-0.46399495	-0.087595817	-0.373966575	-0.056882498	-0.514296856	-0.110238473	-0.458227668	-0.184809061	-0.349755302	-0.293008427	-0.296026799	-0.378709282	-0.319424525	-0.393486344	-0.37814614	-0.40113068
720	-0.426222388	-0.028325471	-0.340891188	0.000635386	-0.476816084	-0.04837536	-0.417797818	-0.117633737	-0.360030162	-0.309895803	-0.319986942	-0.394291332	-0.342257477	-0.408773875	-0.389057214	-0.417506277
724	-0.374589499	0.028805362	-0.296592017	0.056704261	-0.425507722	0.018285074	-0.362000528	-0.05090767	-0.344569801	-0.307391956	-0.315368412	-0.380657459	-0.33594454	-0.394397795	-0.373305121	-0.408359575
728	-0.316709269	0.072026167	-0.246136322	0.101333786	-0.365569264	0.066615317	-0.300120435	0.000671758	-0.299714563	-0.293420589	-0.276100657	-0.352047683	-0.2943118	-0.364392625	-0.320936319	-0.384699446
732	-0.26952629	0.097914623	-0.20319772	0.130907451	-0.311130954	0.084104711	-0.250677896	0.03408751	-0.245141514	-0.279533059	-0.222345949	-0.327991365	-0.238580421	-0.338354225	-0.254553916	-0.363622857
736	-0.246378868	0.115003815	-0.179204558	0.152460613	-0.274353805	0.081359589	-0.227205241	0.059595982	-0.20367147	-0.269886488	-0.178210374	-0.313859532	-0.193628095	-0.321980947	-0.203322149	-0.350492259
740	-0.25194322	0.135804608	-0.180760481	0.177070527	-0.261750381	0.081056131	-0.233314591	0.089660674	-0.184258487	-0.26240511	-0.15453803	-0.30301199	-0.170078525	-0.309321888	-0.179485094	-0.341114251
744	-0.283849275	0.163229579	-0.209820675	0.205914968	-0.276087933	0.096310507	-0.266022421	0.125082426	-0.179776442	-0.257734302	-0.145860449	-0.293278351	-0.161948985	-0.298990794	-0.176421301	-0.335072112
748	-0.333240156	0.184872844	-0.25935381	0.224177637	-0.313712387	0.117445807	-0.316593018	0.151252291	-0.178077492	-0.261275034	-0.142264071	-0.291200618	-0.159208524	-0.297872549	-0.182645452	-0.339577161
752	-0.388378275	0.183105099	-0.316271762	0.213444047	-0.364455254	0.120915665	-0.372130644	0.148990872	-0.173560563	-0.275163094	-0.139133873	-0.301278277	-0.157230406	-0.310028366	-0.191354322	-0.358096149
756	-0.436945951	0.154441018	-0.365975295	0.174475353	-0.41379467	0.09698197	-0.418970418	0.114594313	-0.166953314	-0.292410736	-0.13418828	-0.316849533	-0.153017355	-0.32805568	-0.196826428	-0.381701424
760	-0.461678625	0.116960866	-0.389396229	0.131550098	-0.442161454	0.062391152	-0.441613086	0.066760102	-0.164165015	-0.301399103	-0.1280529	-0.32395382	-0.146424327	-0.337386202	-0.198045598	-0.394438847
764	-0.445153706	0.090357185	-0.369091819	0.106173155	-0.432848916	0.038724704	-0.425143464	0.026631833	-0.176449011	-0.292442652	-0.130963874	-0.309252609	-0.148226917	-0.323921837	-0.207794521	-0.383096458
768	-0.387324198	0.073713902	-0.306745459	0.093076286	-0.386696355	0.027634698	-0.368881897	-0.005123659	-0.20995163	-0.263239281	-0.156251849	-0.269066129	-0.173278855	-0.283275063	-0.240667027	-0.345216047
772	-0.307600178	0.052090972	-0.22422949	0.071391242	-0.320703825	0.0152535	-0.28987057	-0.042437978	-0.258647274	-0.223395978	-0.207110314	-0.216339487	-0.225332137	-0.228580113	-0.29438201	-0.294273099
776	-0.229088302	0.020793182	-0.145991466	0.034419172	-0.253663514	-0.004780736	-0.210613049	-0.08886033	-0.313919347	-0.190505019	-0.276477486	-0.17440756	-0.29668247	-0.184440218	-0.356409041	-0.252539869
780	-0.170206187	-0.010484165	-0.089940946	-0.005691344	-0.20326983	-0.026081722	-0.150229558	-0.13274217	-0.373362841	-0.17660915	-0.355562406	-0.158857522	-0.377807909	-0.167861782	-0.419010699	-0.233614104
784	-0.142688849	-0.032957631	-0.066424985	-0.036653397	-0.184577198	-0.042594052	-0.120459224	-0.163777993	-0.434880671	-0.182881917	-0.432829649	-0.17046219	-0.456994732	-0.180121933	-0.477022489	-0.237628813
788	-0.14562578	-0.044718881	-0.072809437	-0.053702409	-0.197977978	-0.053254186	-0.119639157	-0.179010666	-0.49070316	-0.207399359	-0.492341944	-0.204514405	-0.51819935	-0.216012183	-0.523542743	-0.263083199
792	-0.168742854	-0.047762051	-0.097412005	-0.056496758	-0.228596975	-0.058383722	-0.137771106	-0.179669465	-0.535079485	-0.249292713	-0.526129202	-0.257474371	-0.553360017	-0.271279034	-0.558870672	-0.311928761
